model_family,series_id,dataset,location_id,country,city_or_region,difficulty,primary_clue_type,gt_lat,gt_lon,pred_lat,pred_lon,error_km,distance_source,published_points,spawn_delta_km,partial,stopped_at,recording_id,model_field,source_file
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_001,France,Paris,easy,landmark,48.8521298,2.3696389,46.9111039,-1.9335938,387.428977,recomputed_geodesic,,0.000000,False,2026-08-29T14:16:40.466Z,ogrr-2026-08-29T14-16-36-441Z-528da7ce-9192-43b3-8b9c-97b35029a3b3,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-01.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_002,Germany,Berlin,easy,landmark,52.5206008,13.4151229,50.2639423,41.1328125,1933.350736,recomputed_geodesic,,0.000000,False,2026-08-29T14:22:06.467Z,ogrr-2026-08-29T14-17-06-549Z-eae15524-cd62-49fa-9898-1590049b4451,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-02.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_003,Austria,Salzburg,easy,landmark,47.8005438,13.0529765,48.1986734,22.5000000,705.934009,recomputed_geodesic,,0.000000,False,2026-08-29T14:27:34.909Z,ogrr-2026-08-29T14-22-41-292Z-8b34aa63-90ec-440a-98b8-d7844b6b3311,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-03.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_004,Czechia,Český Krumlov,easy,landmark,48.8126024,14.3129755,48.6650793,24.6093750,756.937399,recomputed_geodesic,,0.000000,False,2026-08-29T14:33:22.691Z,ogrr-2026-08-29T14-28-34-708Z-db77c34f-b384-46bc-8286-5e7c87db7827,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-04.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_005,Croatia,Pula,easy,landmark,44.8747121,13.8493020,45.3100337,24.2578125,820.212488,recomputed_geodesic,,0.000000,False,2026-08-29T14:39:02.693Z,ogrr-2026-08-29T14-34-11-089Z-aa302f38-0ecd-48ba-8b05-65833ad51e78,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-05.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_006,Poland,"Sieniawka, Gmina Bogatynia",easy,text,50.9008842,14.8455043,50.4880342,26.0156250,789.832886,recomputed_geodesic,,0.000000,False,2026-08-29T14:44:50.834Z,ogrr-2026-08-29T14-39-50-279Z-7ca8c729-08f1-4efc-b6cd-8e59000ec908,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-06.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_007,Slovenia,"Višnja Gora, Ivančna Gorica Municipality",easy,text,45.9577599,14.7424922,46.7737168,24.9609375,790.965269,recomputed_geodesic,,0.000000,False,2026-08-29T14:50:46.431Z,ogrr-2026-08-29T14-45-48-866Z-4b575fa4-06a5-4bda-9db0-d8972dccf597,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-07.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-easy,loc_008,Norway,"Flåm, Aurland Municipality",easy,mixed,60.8634735,7.1179637,60.7373521,17.9296875,588.162788,recomputed_geodesic,,0.000000,False,2026-08-29T14:56:47.020Z,ogrr-2026-08-29T14-51-46-561Z-d771879a-de41-41df-97fb-e15c5222a461,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-easy/rounds/round-08.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_009,Spain,Valencia,medium,architecture,39.4667928,-0.3661343,41.7756517,5.4514361,554.848088,recomputed_geodesic,,0.000000,False,2026-08-29T15:04:40.000000Z,ogrr-2026-08-29T15-05-00-000Z-8178029f-54e7-4543-8a38-d1409f50dc47,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-01.json
gemini-3.7-flash-high,gemini-3.7-flash-high,europe-medium,loc_010,Italy,Bologna,medium,architecture,44.4930672,11.3250143,45.7420247,21.7515476,831.449424,recomputed_geodesic,,0.000000,False,2026-08-29T15:09:40.000000Z,ogrr-2026-08-29T15-10-00-000Z-58c82d40-9546-4041-b564-66da5ec8e7ff,gemini 3.7 flash -high,gemini-3.7-flash-high/europe-medium/rounds/round-02.json
